design,workload,credits,ipc,ipc_per_credit,cpi,branchMispredicts,branch_mispredict_rate,commitSquashedInsts,commit_utilization_pct,committed_FloatAdd,committed_IntAlu,committed_IntDiv,committed_IntMult,committed_MemRead,committed_MemWrite,fuBusy_FloatAdd,fuBusy_FloatDiv,fuBusy_FloatMult,fuBusy_IntAlu,fuBusy_IntDiv,fuBusy_IntMult,fuBusy_MemRead,fuBusy_MemWrite,fuBusy_SimdAlu,fuBusy_SimdCvt,fuBusy_SimdMisc,instsAdded,instsIssued,issue_utilization_pct,l1d_accesses,l1d_avg_miss_latency,l1d_hit_rate,l1d_hits,l1d_miss_rate,l1d_misses,l1i_accesses,l1i_hit_rate,l1i_hits,l1i_miss_rate,l1i_misses,memory_ops_pct,numCommittedDist_0,numCommittedDist_1,numCommittedDist_2,numCommittedDist_mean,numCycles,numIssuedDist_0,numIssuedDist_1,numIssuedDist_2,numIssuedDist_mean,numIssuedDist_total,simInsts,simOps,simSeconds,simTicks,speculation_overhead_pct,squashedInstsExamined,squashedInstsIssued
design_a,basicmath,820,0.190587,0.00023242317073170733,5.246957,2411853.0,1.5017478430907638,27972490.0,33.5196,8063523.0,2317898794.0,11314926.0,8315815.0,340828513.0,229546817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7136957.0,2293056.0,3277705.0,3077826193.0,3072961969.0,33.8526,615337584.0,50123.197419,0.958041,589518431.0,0.041959,25819153.0,254896617.0,0.530375,135190669.0,0.469625,119705948.0,18.76401623705945,2790873698.0,447039003.0,1296345230.0,0.670392,8426773741.0,2738438849.0,527638289.0,1272661840.0,0.677052,4538738978.0,1606030607.0,3039729463.0,8.426774,8426773741000.0,1.7417158725418986,39804461.0,1356018.0
design_a,bitcounts,820,1.046242,0.0012759048780487804,0.955802,2294635.0,3.9185403791221356,13078880.0,91.94590000000001,99.0,972032152.0,49.0,120.0,34878855.0,7877677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,75.0,139.0,1037995255.0,1035686803.0,92.53115,42784945.0,49193.164933,0.999984,42784272.0,1.6e-05,673.0,19350041.0,0.999897,19348042.0,0.000103,1999.0,4.171710270349405,15630825.0,58517011.0,483199566.0,1.838918,559702432.0,14437504.0,54722761.0,490482021.0,1.850623,559642286.0,585584115.0,1024916143.0,0.559702,559702426000.0,2.2334758858682497,13079161.0,600707.0
design_a,qsort,820,0.526698,0.0006423146341463415,1.898622,483503.0,12.364861975751007,8397359.0,50.474149999999995,1436498.0,48061996.0,0.0,122132.0,6217630.0,2308674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343139.0,82561292.0,81643107.0,54.9864,21500264.0,54227.257455,0.907804,19518032.0,0.092196,1982232.0,7994945.0,0.999988,7994851.0,1.2e-05,94.0,11.57955182186194,33303333.0,5642314.0,33995052.0,1.009483,74241803.0,29602343.0,7630971.0,37006068.0,1.099728,74239382.0,39102984.0,73632418.0,0.074242,74241803000.0,21.47498257421991,8928918.0,261072.0
design_a,susan_edges,820,1.043843,0.001272979268292683,0.957999,189157.0,3.526751381637393,3044549.0,78.5816,10033.0,57202007.0,0.0,726260.0,18012074.0,3037697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259153.0,0.0,88944.0,83069521.0,81750682.0,79.5642,21445756.0,56035.391825,0.994975,21337991.0,0.005025,107765.0,5114616.0,0.999943,5114327.0,5.7e-05,289.0,26.30371436229668,5935464.0,9941096.0,35042377.0,1.571632,51382186.0,5697896.0,9601612.0,36074535.0,1.591284,51374043.0,53634912.0,80025850.0,0.051382,51382186000.0,5.676431425859336,3043689.0,211450.0
design_a,susan_corners,820,1.093927,0.001334057317073171,0.914138,74823.0,3.704213985871976,1220810.0,80.958,10506.0,20119809.0,20874.0,158880.0,6856872.0,2036999.0,0.0,0.0,0.0,0.0,0.0,196118.0,0.0,0.0,74723.0,0.0,6672.0,30805125.0,30202798.0,81.8168,9081639.0,52606.404287,0.991699,9006252.0,0.008301,75387.0,1795118.0,0.99986,1794866.0,0.00014,252.0,30.0663202870858,2182620.0,2592425.0,13494209.0,1.61916,18465063.0,2272234.0,2167878.0,14017460.0,1.636336,18457572.0,20199427.0,29580843.0,0.018465,18465063000.0,6.043785301434541,1224336.0,177808.0
design_a,susan_smoothing,820,0.993592,0.0012116975609756098,1.006449,1770635.0,4.828824974623262,14760309.0,85.24165,5951.0,495737507.0,776894.0,49882067.0,77325262.0,2001683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,0.0,5663.0,640688777.0,628397250.0,85.1396,81034855.0,65204.777425,0.999424,80988219.0,0.000576,46636.0,53664146.0,0.999996,53663935.0,4e-06,211.0,12.67349369794524,27034202.0,54302115.0,285812940.0,1.704833,369045154.0,45637130.0,18407164.0,304995043.0,1.702792,369039337.0,366680302.0,625927995.0,0.369045,369045154000.0,4.025389124938596,14760785.0,2957410.0
design_a,jpeg_encode,820,0.754837,0.0009205329268292682,1.324789,474312.0,6.412631138740775,4884686.0,68.2004,25.0,104292233.0,278570.0,1232302.0,18071743.0,5754129.0,0.0,0.0,0.0,0.0,1452.0,2370.0,0.0,0.0,3.0,0.0,41183.0,134957211.0,133425073.0,69.3971,24226200.0,55767.62751,0.960049,23258340.0,0.039951,967860.0,10351615.0,0.994659,10296332.0,0.005341,55283.0,18.31809943430859,25713386.0,9219296.0,60424042.0,1.364008,97988352.0,23714079.0,11409977.0,61007548.0,1.387942,96131604.0,73965271.0,130067380.0,0.097988,97988348000.0,6.604026367996408,4889925.0,380087.0
design_a,jpeg_decode,820,0.743699,0.00090695,1.34463,33308.0,1.7583827524338778,482049.0,59.562400000000004,1224.0,20777095.0,1181.0,363309.0,5112987.0,2458333.0,0.0,0.0,0.0,0.0,762.0,3560.0,0.0,0.0,6.0,6.0,44548.0,29650347.0,29434832.0,59.93000000000001,7904738.0,49202.579058,0.961328,7599045.0,0.038672,305693.0,2204781.0,0.985775,2173418.0,0.014225,31363.0,25.959468870663056,7349589.0,5101898.0,12032015.0,1.191248,25470533.0,7706117.0,4268278.0,12583277.0,1.1986,24557672.0,18942406.0,29165928.0,0.025471,25470527000.0,2.544814000924698,484437.0,35835.0
design_a,dijkstra,820,0.320721,0.0003911231707317073,3.117976,252664.0,1.3909074539315305,4966150.0,30.570000000000004,158232.0,289055316.0,7.0,2354.0,35816430.0,18059517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5249.0,7312.0,13852.0,348875739.0,346582987.0,30.7701,54055080.0,49664.98919,0.823735,44527077.0,0.176265,9528003.0,25010364.0,0.99603,24911067.0,0.00397,99297.0,15.666571607506807,382559588.0,15920200.0,163985455.0,0.6114,566393096.0,372226908.0,35325673.0,155628657.0,0.615402,563181238.0,181654070.0,343891110.0,0.566393,566393096000.0,2.733850114120757,4984673.0,234998.0
design_b,basicmath,960,0.190962,0.00019891874999999998,5.23664,2716151.0,1.691219948213602,26827312.0,33.606449999999995,8063523.0,2317898794.0,11314926.0,8315815.0,340828513.0,229546817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7136958.0,2293056.0,3277705.0,3076681010.0,3072505931.0,33.9352,614938382.0,50124.041257,0.957966,589090345.0,0.042034,25848037.0,255453515.0,0.531398,135747557.0,0.468602,119705958.0,18.76401623705945,2779864168.0,445620203.0,1297054630.0,0.672129,8410204812.0,2727483283.0,526571499.0,1272967216.0,0.678704,4527021998.0,1606030607.0,3039729463.0,8.410205,8410204812000.0,1.6704110048134344,38659278.0,1154535.0
design_b,bitcounts,960,1.046243,0.0010898364583333334,0.955801,2294639.0,3.91854720990852,13079225.0,91.94590000000001,99.0,972032152.0,49.0,120.0,34878855.0,7877677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,75.0,139.0,1037995563.0,1035687136.0,92.53115,42784956.0,49358.166189,0.999984,42784258.0,1.6e-05,698.0,19350058.0,0.999897,19348056.0,0.000103,2002.0,4.171710270349405,15630919.0,58516969.0,483199587.0,1.838918,559701667.0,14437472.0,54722738.0,490482199.0,1.850623,559642409.0,585584115.0,1024916143.0,0.559702,559701661000.0,2.23353480140082,13079466.0,600706.0
design_b,qsort,960,0.526705,0.0005486510416666667,1.898594,483502.0,12.364836402255133,8397137.0,50.47469999999999,1436498.0,48061996.0,0.0,122132.0,6217630.0,2308674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343182.0,82561079.0,81642967.0,54.986900000000006,21499910.0,54228.176533,0.907803,19517686.0,0.092197,1982224.0,7994970.0,0.999988,7994876.0,1.2e-05,94.0,11.57955182186194,33302978.0,5641458.0,33995480.0,1.009494,74240700.0,29601464.0,7631283.0,37005842.0,1.099738,74238589.0,39102984.0,73632418.0,0.074241,74240700000.0,21.474414842611502,8928705.0,261035.0
design_b,susan_edges,960,1.044237,0.001087746875,0.957637,189190.0,3.527366652526623,3084407.0,78.61985,10033.0,57202007.0,0.0,726260.0,18012074.0,3037697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259140.0,0.0,88942.0,83109278.0,81783895.0,79.62705,21448340.0,53982.655382,0.994651,21333607.0,0.005349,114733.0,5118359.0,0.999944,5118070.0,5.6e-05,289.0,26.30371436229668,5914561.0,9933386.0,35046232.0,1.572397,51362754.0,5655764.0,9613267.0,36085314.0,1.592541,51354345.0,53634912.0,80025850.0,0.051363,51362754000.0,5.75074496253485,3083446.0,212050.0
design_b,susan_corners,960,1.100345,0.0011461927083333333,0.908806,74821.0,3.7041149731623575,1235783.0,81.4461,10506.0,20119809.0,20874.0,158880.0,6856872.0,2036999.0,0.0,0.0,0.0,0.0,0.0,196115.0,0.0,0.0,74710.0,0.0,6670.0,30820119.0,30214099.0,82.32549999999999,9082613.0,46476.571809,0.989743,8989456.0,0.010257,93157.0,1797244.0,0.99986,1796992.0,0.00014,252.0,30.0663202870858,2073151.0,2592381.0,13494231.0,1.628922,18357356.0,2157532.0,2171605.0,14021247.0,1.64651,18350384.0,20199427.0,29580843.0,0.018357,18357356000.0,6.117911166490019,1239330.0,178796.0
design_b,susan_smoothing,960,0.993604,0.0010350041666666668,1.006437,1770635.0,4.828824974623262,14759267.0,85.24255,5951.0,495737507.0,776894.0,49882067.0,77325262.0,2001683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,0.0,5653.0,640687735.0,628396999.0,85.1406,81034824.0,64987.745203,0.999425,80988230.0,0.000575,46594.0,53663507.0,0.999996,53663296.0,4e-06,211.0,12.67349369794524,27031281.0,54300155.0,285813920.0,1.704851,369040689.0,45635947.0,18400785.0,304998107.0,1.702812,369034839.0,366680302.0,625927995.0,0.369041,369040689000.0,4.0251049536879675,14759743.0,2957618.0
design_b,jpeg_encode,960,0.757271,0.0007888239583333334,1.320532,475045.0,6.422541195042738,5518672.0,68.48570000000001,25.0,104292233.0,278570.0,1232302.0,18071743.0,5754129.0,0.0,0.0,0.0,0.0,1510.0,2799.0,0.0,0.0,3.0,0.0,41182.0,135590795.0,133931634.0,69.8917,24268574.0,55694.874396,0.960043,23298865.0,0.039957,969709.0,10405121.0,0.994686,10349826.0,0.005314,55295.0,18.31809943430859,25352764.0,9146162.0,60460609.0,1.369714,97673471.0,23005447.0,11684896.0,61123369.0,1.397834,95813712.0,73965271.0,130067380.0,0.097673,97673467000.0,7.461166470950942,5523509.0,419472.0
design_b,jpeg_decode,960,0.743592,0.000774575,1.344823,33471.0,1.7669877839172068,543098.0,59.55925,1224.0,20777095.0,1181.0,363309.0,5112987.0,2458333.0,0.0,0.0,0.0,0.0,1013.0,3596.0,0.0,0.0,6.0,6.0,44582.0,29710675.0,29455348.0,59.94715000000001,7905260.0,49145.380634,0.961258,7598995.0,0.038742,306265.0,2209717.0,0.985802,2178343.0,0.014198,31374.0,25.959468870663056,7351832.0,5100028.0,12032950.0,1.191185,25474190.0,7706983.0,4266204.0,12594572.0,1.198943,24567759.0,18942406.0,29165928.0,0.025474,25474184000.0,2.867101465357674,544765.0,48201.0
design_b,dijkstra,960,0.323298,0.00033676874999999997,3.093122,252761.0,1.3914414359116754,5341868.0,30.8187,158232.0,289055316.0,7.0,2354.0,35816430.0,18059517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5248.0,7309.0,14049.0,349251313.0,346938623.0,31.0497,54090011.0,48166.67427,0.811557,43897154.0,0.188443,10192857.0,25060560.0,0.996037,24961239.0,0.003963,99321.0,15.666571607506807,378055316.0,15849674.0,164020718.0,0.616374,561878258.0,366906291.0,36613967.0,155162328.0,0.620994,558682586.0,181654070.0,343891110.0,0.561878,561878258000.0,2.9406817034157284,5360247.0,212025.0
